통합_순위,상권_코드_명,상권유형,사분면,pythagorean_dist,residual_pct,supply_pct,residual_latest,supply_shortage,찻집수_latest,매출_latest,구조적블루오션
1,성신여대입구역 4번,골목상권,Q1_검증시장공백,1.259800432149566,0.996138996138996,0.7712355212355213,3.1789725105055027,1.0,0,1583382018,False
2,외대앞역 1번,골목상권,Q1_검증시장공백,1.2579109878854118,0.997104247104247,0.7668918918918919,3.197972259577181,1.0,0,1435329365,False
3,광나루역 1번,골목상권,Q1_검증시장공백,1.2560867592332658,0.9951737451737452,0.7664092664092664,3.1357085320456903,1.0,0,1433479208,False
4,쌍문역1번(쌍리단길),골목상권,Q1_검증시장공백,1.2560823086915989,0.9884169884169884,0.7750965250965252,2.817714544724669,1.0,0,829938920,False
5,경향신문사,골목상권,Q1_검증시장공백,1.2547330675228814,0.9942084942084942,0.7654440154440154,2.965718810357899,1.0,0,696890668,False
6,숭실대입구역 4번,골목상권,Q1_검증시장공백,1.251969572774706,0.9816602316602316,0.777027027027027,2.587026441133567,1.0,0,950772165,False
7,서원동상점가,전통시장,Q1_검증시장공백,1.2518501237879716,0.9913127413127412,0.7644787644787645,2.890127250848316,1.0,0,1918134874,False
8,시청역_8번,발달상권,Q1_검증시장공백,1.2510564847087853,0.9797297297297296,0.777992277992278,2.5687250374138166,1.0,0,12918641043,False
9,홍대소상공인상점가,전통시장,Q1_검증시장공백,1.2500977324981224,0.999034749034749,0.7514478764478765,3.2311428724263784,1.0,0,2690677938,False
10,국기원,골목상권,Q1_검증시장공백,1.2402258890559723,0.973938223938224,0.7678571428571429,2.418409952428128,1.0,0,1615905696,False
11,장충동족발거리(남소영길),발달상권,Q1_검증시장공백,1.237193927601056,0.9623552123552124,0.7775096525096525,2.179122783204239,1.0,0,2640141247,False
12,안암역 2번,골목상권,Q1_검증시장공백,1.2335911112318985,0.9874517374517374,0.7393822393822393,2.8026505311042484,1.0,0,1177277269,False
13,도화동 상점가,전통시장,Q1_검증시장공백,1.233117552797626,0.9835907335907336,0.7437258687258688,2.6143985716360696,1.0,0,1933801818,False
14,구로나눔길,골목상권,Q1_검증시장공백,1.2290832811085417,0.9662162162162162,0.7596525096525097,2.21900444954068,1.0,0,373348418,False
15,삼전역 4번,골목상권,Q1_검증시장공백,1.2244953240484824,0.9671814671814672,0.750965250965251,2.2700221457102217,1.0,0,1152744583,False
16,신내1동주민센터,골목상권,Q1_검증시장공백,1.215171323686569,0.9855212355212356,0.7109073359073359,2.7456810276874144,1.0,0,1065089517,False
17,선유도역 6번,골목상권,Q1_검증시장공백,1.2111053519744652,0.947876447876448,0.7538610038610039,2.044367557169398,1.0,0,942536951,False
18,도봉산역 1번,골목상권,Q1_검증시장공백,1.2089936920348399,0.945945945945946,0.752895752895753,2.038155218686633,1.0,0,413493445,False
19,연희대우아파트앞,골목상권,Q1_검증시장공백,1.2082093025210037,0.975868725868726,0.7123552123552124,2.47547121653642,1.0,0,1137061925,False
20,방배동카페골목,발달상권,Q1_검증시장공백,1.2053063912311857,0.9218146718146718,0.7765444015444016,1.7824200399709156,1.0,0,3514656280,False
21,은평구청,골목상권,Q1_검증시장공백,1.204150579150579,0.9633204633204632,0.7224903474903475,2.1838435334662165,1.0,0,486740101,False
22,아카데미하우스,골목상권,Q1_검증시장공백,1.2026469244674656,0.9787644787644788,0.6988416988416989,2.5408207968216985,1.0,0,686328635,False
23,성신여대,발달상권,Q1_검증시장공백,1.1999727316609836,0.942084942084942,0.7432432432432432,1.974546390292378,1.0,0,6996673793,False
24,건대입구역(건대),발달상권,Q1_검증시장공백,1.1996559014310624,0.9401544401544402,0.7451737451737452,1.9403255767241312,1.0,0,7795813926,False
25,공릉역,발달상권,Q1_검증시장공백,1.196157830535855,0.9102316602316602,0.7760617760617761,1.7233451336679906,1.0,0,1963325880,False
26,동평화시장,전통시장,Q1_검증시장공백,1.1955933709226092,0.9208494208494208,0.7625482625482626,1.7804097252726088,1.0,0,393799791,False
27,KB국민은행 서강지점,골목상권,Q1_검증시장공백,1.1950474537087359,0.914092664092664,0.7697876447876448,1.7463909614433994,1.0,0,621000000,False
28,당고개역 5번,골목상권,Q1_검증시장공백,1.1923291607340896,0.9391891891891893,0.7345559845559846,1.932778751602936,1.0,0,322000000,False
29,그라운드 고척,골목상권,Q1_검증시장공백,1.1918247453360562,0.972007722007722,0.6896718146718147,2.3388965085519366,1.0,0,531232811,False
30,대학로(혜화역),발달상권,Q1_검증시장공백,1.1917027860395681,0.9372586872586872,0.7360038610038611,1.9250103140058703,1.0,0,6989324179,False
