변수명,계수
TYPE_발달상권,1.6988228186807521
TYPE_관광특구,1.410359253292558
집객시설_수_scaled,0.34181084519899724
TYPE_전통시장,0.2835119857764989
월_평균_소득_금액_scaled,0.2711146565578539
카페_검색지수_scaled,0.19713938738924602
총_직장_인구_수_scaled,0.1781435987013522
총_가구_수_scaled,0.14421483899608942
지하철_노선_수_scaled,0.07741382773208678
Q_20242,0.05786174729015869
Q_20253,0.008277951475789845
Q_20243,0.00670119312456331
Q_20252,-0.004792981533157858
Q_20244,-0.07195565516810155
Q_20234,-0.08837711892118148
Q_20241,-0.10271984977933896
Q_20251,-0.1500630666386984
