가중치,순위,상권명,사분면,겹치는상권수,w1
w=0.1/0.9,1위,성신여대입구역 4번,Q1,,0.1
w=0.1/0.9,2위,쌍문역1번(쌍리단길),Q1,,0.1
w=0.1/0.9,3위,숭실대입구역 4번,Q1,,0.1
w=0.1/0.9,4위,시청역_8번,Q1,,0.1
w=0.1/0.9,5위,외대앞역 1번,Q1,,0.1
w=0.1/0.9,기준대비일치(Q1),3,Q1,,0.1
w=0.2/0.8,1위,성신여대입구역 4번,Q1,,0.2
w=0.2/0.8,2위,쌍문역1번(쌍리단길),Q1,,0.2
w=0.2/0.8,3위,숭실대입구역 4번,Q1,,0.2
w=0.2/0.8,4위,시청역_8번,Q1,,0.2
w=0.2/0.8,5위,외대앞역 1번,Q1,,0.2
w=0.2/0.8,기준대비일치(Q1),3,Q1,,0.2
w=0.3/0.7,1위,성신여대입구역 4번,Q1,,0.3
w=0.3/0.7,2위,쌍문역1번(쌍리단길),Q1,,0.3
w=0.3/0.7,3위,외대앞역 1번,Q1,,0.3
w=0.3/0.7,4위,숭실대입구역 4번,Q1,,0.3
w=0.3/0.7,5위,시청역_8번,Q1,,0.3
w=0.3/0.7,기준대비일치(Q1),3,Q1,,0.3
w=0.4/0.6,1위,성신여대입구역 4번,Q1,,0.4
w=0.4/0.6,2위,쌍문역1번(쌍리단길),Q1,,0.4
w=0.4/0.6,3위,외대앞역 1번,Q1,,0.4
w=0.4/0.6,4위,광나루역 1번,Q1,,0.4
w=0.4/0.6,5위,숭실대입구역 4번,Q1,,0.4
w=0.4/0.6,기준대비일치(Q1),4,Q1,,0.4
w=0.5/0.5,1위,성신여대입구역 4번,Q1,,0.5
w=0.5/0.5,2위,외대앞역 1번,Q1,,0.5
w=0.5/0.5,3위,쌍문역1번(쌍리단길),Q1,,0.5
w=0.5/0.5,4위,광나루역 1번,Q1,,0.5
w=0.5/0.5,5위,경향신문사,Q1,,0.5
w=0.5/0.5,기준대비일치(Q1),5,Q1,,0.5
w=0.6/0.4,1위,성신여대입구역 4번,Q1,,0.6
w=0.6/0.4,2위,외대앞역 1번,Q1,,0.6
w=0.6/0.4,3위,쌍문역1번(쌍리단길),Q1,,0.6
w=0.6/0.4,4위,광나루역 1번,Q1,,0.6
w=0.6/0.4,5위,경향신문사,Q1,,0.6
w=0.6/0.4,기준대비일치(Q1),5,Q1,,0.6
w=0.7/0.3,1위,성신여대입구역 4번,Q1,,0.7
w=0.7/0.3,2위,외대앞역 1번,Q1,,0.7
w=0.7/0.3,3위,광나루역 1번,Q1,,0.7
w=0.7/0.3,4위,경향신문사,Q1,,0.7
w=0.7/0.3,5위,쌍문역1번(쌍리단길),Q1,,0.7
w=0.7/0.3,기준대비일치(Q1),5,Q1,,0.7
w=0.8/0.2,1위,성신여대입구역 4번,Q1,,0.8
w=0.8/0.2,2위,외대앞역 1번,Q1,,0.8
w=0.8/0.2,3위,광나루역 1번,Q1,,0.8
w=0.8/0.2,4위,경향신문사,Q1,,0.8
w=0.8/0.2,5위,홍대소상공인상점가,Q1,,0.8
w=0.8/0.2,기준대비일치(Q1),4,Q1,,0.8
w=0.9/0.1,1위,외대앞역 1번,Q1,,0.9
w=0.9/0.1,2위,성신여대입구역 4번,Q1,,0.9
w=0.9/0.1,3위,홍대소상공인상점가,Q1,,0.9
w=0.9/0.1,4위,광나루역 1번,Q1,,0.9
w=0.9/0.1,5위,경향신문사,Q1,,0.9
w=0.9/0.1,기준대비일치(Q1),4,Q1,,0.9
w=0.1/0.9,1위,잠실 관광특구,Q2,,0.1
w=0.1/0.9,2위,대치역,Q2,,0.1
w=0.1/0.9,3위,양재역,Q2,,0.1
w=0.1/0.9,4위,거여역,Q2,,0.1
w=0.1/0.9,5위,굽은다리역,Q2,,0.1
w=0.1/0.9,기준대비일치(Q2),3,Q2,,0.1
w=0.2/0.8,1위,잠실 관광특구,Q2,,0.2
w=0.2/0.8,2위,대치역,Q2,,0.2
w=0.2/0.8,3위,양재역,Q2,,0.2
w=0.2/0.8,4위,거여역,Q2,,0.2
w=0.2/0.8,5위,굽은다리역,Q2,,0.2
w=0.2/0.8,기준대비일치(Q2),3,Q2,,0.2
w=0.3/0.7,1위,잠실 관광특구,Q2,,0.3
w=0.3/0.7,2위,대치역,Q2,,0.3
w=0.3/0.7,3위,양재역,Q2,,0.3
w=0.3/0.7,4위,거여역,Q2,,0.3
w=0.3/0.7,5위,굽은다리역,Q2,,0.3
w=0.3/0.7,기준대비일치(Q2),3,Q2,,0.3
w=0.4/0.6,1위,잠실 관광특구,Q2,,0.4
w=0.4/0.6,2위,대치역,Q2,,0.4
w=0.4/0.6,3위,양재역,Q2,,0.4
w=0.4/0.6,4위,경기고교사거리(경기고교앞사거리),Q2,,0.4
w=0.4/0.6,5위,거여역,Q2,,0.4
w=0.4/0.6,기준대비일치(Q2),4,Q2,,0.4
w=0.5/0.5,1위,잠실 관광특구,Q2,,0.5
w=0.5/0.5,2위,대치역,Q2,,0.5
w=0.5/0.5,3위,경기고교사거리(경기고교앞사거리),Q2,,0.5
w=0.5/0.5,4위,양재역,Q2,,0.5
w=0.5/0.5,5위,휘문고교사거리,Q2,,0.5
w=0.5/0.5,기준대비일치(Q2),5,Q2,,0.5
w=0.6/0.4,1위,잠실 관광특구,Q2,,0.6
w=0.6/0.4,2위,대치역,Q2,,0.6
w=0.6/0.4,3위,경기고교사거리(경기고교앞사거리),Q2,,0.6
w=0.6/0.4,4위,휘문고교사거리,Q2,,0.6
w=0.6/0.4,5위,홍제역,Q2,,0.6
w=0.6/0.4,기준대비일치(Q2),4,Q2,,0.6
w=0.7/0.3,1위,잠실 관광특구,Q2,,0.7
w=0.7/0.3,2위,경기고교사거리(경기고교앞사거리),Q2,,0.7
w=0.7/0.3,3위,대치역,Q2,,0.7
w=0.7/0.3,4위,휘문고교사거리,Q2,,0.7
w=0.7/0.3,5위,홍제역,Q2,,0.7
w=0.7/0.3,기준대비일치(Q2),4,Q2,,0.7
w=0.8/0.2,1위,경기고교사거리(경기고교앞사거리),Q2,,0.8
w=0.8/0.2,2위,잠실 관광특구,Q2,,0.8
w=0.8/0.2,3위,서초동성당,Q2,,0.8
w=0.8/0.2,4위,휘문고교사거리,Q2,,0.8
w=0.8/0.2,5위,중구청(퇴계로4가),Q2,,0.8
w=0.8/0.2,기준대비일치(Q2),3,Q2,,0.8
w=0.9/0.1,1위,경기고교사거리(경기고교앞사거리),Q2,,0.9
w=0.9/0.1,2위,서초동성당,Q2,,0.9
w=0.9/0.1,3위,영등포시장역 4번,Q2,,0.9
w=0.9/0.1,4위,동대문역 1번,Q2,,0.9
w=0.9/0.1,5위,개웅초등학교(개웅중학교),Q2,,0.9
w=0.9/0.1,기준대비일치(Q2),1,Q2,,0.9
